TxId,RxId,PanelId,TxX,TxY,TxZ,RxX,RxY,RxZ,PanelX,PanelY,PanelZ,IncidentAngleDeg,ReflectionAngleDeg,ReflectionErrorDeg,SteeringAngleDeg,SpecularStatus,DistanceTxToPanel_m,DistancePanelToRx_m,TotalDistance_m
1,2,1,2.000,2.080,2.600,2.600,2.080,2.600,5.000,14.875,4.500,15.51,13.45,2.06,28.92,Steering,13.279,13.156,26.435
1,3,1,2.000,2.080,2.600,3.200,2.080,2.600,5.000,14.875,4.500,15.51,11.56,3.95,26.86,Steering,13.279,13.060,26.339
1,4,1,2.000,2.080,2.600,3.800,2.080,2.600,5.000,14.875,4.500,15.51,9.96,5.55,24.87,Steering,13.279,12.991,26.269
1,5,1,2.000,2.080,2.600,4.400,2.080,2.600,5.000,14.875,4.500,15.51,8.85,6.66,22.98,Steering,13.279,12.949,26.228
1,6,1,2.000,2.080,2.600,5.000,2.080,2.600,5.000,14.875,4.500,15.51,8.45,7.06,21.23,Steering,13.279,12.935,26.214
1,7,1,2.000,2.080,2.600,5.600,2.080,2.600,5.000,14.875,4.500,15.51,8.85,6.66,19.68,Steering,13.279,12.949,26.228
1,8,1,2.000,2.080,2.600,6.200,2.080,2.600,5.000,14.875,4.500,15.51,9.96,5.55,18.38,Steering,13.279,12.991,26.269
1,9,1,2.000,2.080,2.600,6.800,2.080,2.600,5.000,14.875,4.500,15.51,11.56,3.95,17.38,Steering,13.279,13.060,26.339
1,10,1,2.000,2.080,2.600,7.400,2.080,2.600,5.000,14.875,4.500,15.51,13.45,2.06,16.73,Steering,13.279,13.156,26.435
1,11,1,2.000,2.080,2.600,8.000,2.080,2.600,5.000,14.875,4.500,15.51,15.51,0.00,16.45,Steering,13.279,13.279,26.557
1,12,1,2.000,2.080,2.600,8.600,2.080,2.600,5.000,14.875,4.500,15.51,17.65,2.14,16.55,Steering,13.279,13.427,26.706
1,13,8,2.000,2.080,2.600,9.200,2.080,2.600,6.000,14.875,4.500,19.09,16.22,2.87,16.60,Steering,13.540,13.325,26.865
1,14,8,2.000,2.080,2.600,9.800,2.080,2.600,6.000,14.875,4.500,19.09,18.37,0.72,16.19,Steering,13.540,13.482,27.022
1,15,8,2.000,2.080,2.600,10.400,2.080,2.600,6.000,14.875,4.500,19.09,20.53,1.44,16.14,Steering,13.540,13.663,27.203
1,16,8,2.000,2.080,2.600,11.000,2.080,2.600,6.000,14.875,4.500,19.09,22.69,3.60,16.43,Steering,13.540,13.868,27.408
1,17,15,2.000,2.080,2.600,11.600,2.080,2.600,7.000,14.875,4.500,22.69,21.25,1.43,15.91,Steering,13.868,13.729,27.597
1,18,15,2.000,2.080,2.600,12.200,2.080,2.600,7.000,14.875,4.500,22.69,23.40,0.71,15.73,Steering,13.868,13.941,27.809
1,19,15,2.000,2.080,2.600,12.800,2.080,2.600,7.000,14.875,4.500,22.69,25.50,2.81,15.87,Steering,13.868,14.176,28.044
1,20,22,2.000,2.080,2.600,13.400,2.080,2.600,8.000,14.875,4.500,26.19,24.10,2.09,15.61,Steering,14.259,14.017,28.276
1,21,1,2.000,2.080,2.600,2.000,2.080,5.000,5.000,14.875,4.500,15.51,13.37,2.14,26.96,Steering,13.279,13.152,26.430
1,22,1,2.000,2.080,2.600,2.600,2.080,5.000,5.000,14.875,4.500,15.51,10.85,4.66,24.46,Steering,13.279,13.028,26.306
1,23,1,2.000,2.080,2.600,3.200,2.080,5.000,5.000,14.875,4.500,15.51,8.31,7.20,21.94,Steering,13.279,12.931,26.209
1,24,1,2.000,2.080,2.600,3.800,2.080,5.000,5.000,14.875,4.500,15.51,5.80,9.71,19.42,Steering,13.279,12.861,26.140
1,25,1,2.000,2.080,2.600,4.400,2.080,5.000,5.000,14.875,4.500,15.51,3.49,12.02,16.90,Steering,13.279,12.819,26.097
1,26,1,2.000,2.080,2.600,5.000,2.080,5.000,5.000,14.875,4.500,15.51,2.24,13.27,14.44,Steering,13.279,12.805,26.083
1,27,1,2.000,2.080,2.600,5.600,2.080,5.000,5.000,14.875,4.500,15.51,3.49,12.02,12.06,Steering,13.279,12.819,26.097
1,28,1,2.000,2.080,2.600,6.200,2.080,5.000,5.000,14.875,4.500,15.51,5.80,9.71,9.84,Steering,13.279,12.861,26.140
1,29,1,2.000,2.080,2.600,6.800,2.080,5.000,5.000,14.875,4.500,15.51,8.31,7.20,7.92,Steering,13.279,12.931,26.209
1,30,1,2.000,2.080,2.600,7.400,2.080,5.000,5.000,14.875,4.500,15.51,10.85,4.66,6.55,Steering,13.279,13.028,26.306
1,31,1,2.000,2.080,2.600,8.000,2.080,5.000,5.000,14.875,4.500,15.51,13.37,2.14,6.05,Steering,13.279,13.152,26.430
1,32,1,2.000,2.080,2.600,8.600,2.080,5.000,5.000,14.875,4.500,15.51,15.86,0.35,6.57,Steering,13.279,13.301,26.580
1,33,8,2.000,2.080,2.600,9.200,2.080,5.000,6.000,14.875,4.500,19.09,14.21,4.89,6.76,Steering,13.540,13.199,26.738
1,34,8,2.000,2.080,2.600,9.800,2.080,5.000,6.000,14.875,4.500,19.09,16.68,2.41,5.98,Steering,13.540,13.357,26.896
1,35,8,2.000,2.080,2.600,10.400,2.080,5.000,6.000,14.875,4.500,19.09,19.09,0.00,6.16,Steering,13.540,13.540,27.079
1,36,15,2.000,2.080,2.600,11.000,2.080,5.000,7.000,14.875,4.500,22.69,17.49,5.20,6.98,Steering,13.868,13.415,27.283
1,37,15,2.000,2.080,2.600,11.600,2.080,5.000,7.000,14.875,4.500,22.69,19.88,2.81,5.98,Steering,13.868,13.606,27.474
1,38,15,2.000,2.080,2.600,12.200,2.080,5.000,7.000,14.875,4.500,22.69,22.21,0.48,5.85,Steering,13.868,13.820,27.688
1,39,15,2.000,2.080,2.600,12.800,2.080,5.000,7.000,14.875,4.500,22.69,24.46,1.78,6.57,Steering,13.868,14.057,27.925
1,40,22,2.000,2.080,2.600,13.400,2.080,5.000,8.000,14.875,4.500,26.19,22.97,3.22,6.02,Steering,14.259,13.897,28.156
1,41,1,2.000,2.080,2.600,2.000,2.080,7.400,5.000,14.875,4.500,15.51,18.06,2.55,26.29,Steering,13.279,13.458,26.737
1,42,2,2.000,2.080,2.600,2.600,2.080,7.400,5.000,14.875,5.500,18.06,13.45,4.61,23.78,Steering,13.458,13.156,26.614
1,43,2,2.000,2.080,2.600,3.200,2.080,7.400,5.000,14.875,5.500,18.06,11.56,6.50,21.24,Steering,13.458,13.060,26.518
1,44,2,2.000,2.080,2.600,3.800,2.080,7.400,5.000,14.875,5.500,18.06,9.96,8.10,18.68,Steering,13.458,12.991,26.449
1,45,2,2.000,2.080,2.600,4.400,2.080,7.400,5.000,14.875,5.500,18.06,8.85,9.21,16.12,Steering,13.458,12.949,26.407
1,46,2,2.000,2.080,2.600,5.000,2.080,7.400,5.000,14.875,5.500,18.06,8.45,9.62,13.57,Steering,13.458,12.935,26.393
1,47,2,2.000,2.080,2.600,5.600,2.080,7.400,5.000,14.875,5.500,18.06,8.85,9.21,11.08,Steering,13.458,12.949,26.407
1,48,2,2.000,2.080,2.600,6.200,2.080,7.400,5.000,14.875,5.500,18.06,9.96,8.10,8.70,Steering,13.458,12.991,26.449
1,49,2,2.000,2.080,2.600,6.800,2.080,7.400,5.000,14.875,5.500,18.06,11.56,6.50,6.53,Steering,13.458,13.060,26.518
1,50,2,2.000,2.080,2.600,7.400,2.080,7.400,5.000,14.875,5.500,18.06,13.45,4.61,4.85,Specular,13.458,13.156,26.614
1,51,1,2.000,2.080,2.600,8.000,2.080,7.400,5.000,14.875,4.500,15.51,18.06,2.55,4.22,Specular,13.279,13.458,26.737
1,52,1,2.000,2.080,2.600,8.600,2.080,7.400,5.000,14.875,4.500,15.51,19.86,4.35,4.77,Specular,13.279,13.604,26.883
1,53,9,2.000,2.080,2.600,9.200,2.080,7.400,6.000,14.875,5.500,21.11,16.22,4.90,5.17,Steering,13.716,13.325,27.041
1,54,9,2.000,2.080,2.600,9.800,2.080,7.400,6.000,14.875,5.500,21.11,18.37,2.74,4.18,Specular,13.716,13.482,27.198
1,55,8,2.000,2.080,2.600,10.400,2.080,7.400,6.000,14.875,4.500,19.09,22.38,3.29,4.33,Specular,13.540,13.838,27.377
1,56,8,2.000,2.080,2.600,11.000,2.080,7.400,6.000,14.875,4.500,19.09,24.31,5.22,5.50,Steering,13.540,14.040,27.580
